eid,oid,time,lng,lat
015581f6-5fb4-480b-a1a3-6a7e882d987e,2f549785-b9ba-42eb-96f7-e959d5739ce5,2014-07-23T07:19:43Z,100.7105,3.1133
015581f6-5fb4-480b-a1a3-6a7e882d987e,69d73b73-cbe8-4704-878d-0e0544aeae26,2014-07-23T07:20:06Z,100.7096,3.1141
015581f6-5fb4-480b-a1a3-6a7e882d987e,a970202e-f8ff-4f64-aaab-d2affedf5f1f,2014-07-23T07:21:25Z,100.7066,3.1173
015581f6-5fb4-480b-a1a3-6a7e882d987e,90c2b3f9-cc9a-44c3-8d70-3add998fbb4c,2014-07-23T07:22:05Z,100.7051,3.1189
015581f6-5fb4-480b-a1a3-6a7e882d987e,18a54df5-0ba6-4252-9cd7-3d2752716cc5,2014-07-23T07:22:35Z,100.704,3.1201
015581f6-5fb4-480b-a1a3-6a7e882d987e,9acb6162-6676-4d93-96a8-c401136c4348,2014-07-23T07:24:14Z,100.7003,3.1241
015581f6-5fb4-480b-a1a3-6a7e882d987e,97a20402-19a3-4892-9ad7-71a122d63269,2014-07-23T07:25:14Z,100.698,3.1264
015581f6-5fb4-480b-a1a3-6a7e882d987e,1fefe445-c4b4-4427-9e86-eb0b4f76fd50,2014-07-23T07:29:33Z,100.6878,3.1361
015581f6-5fb4-480b-a1a3-6a7e882d987e,cc8c3fc9-8d0e-4381-ab0b-cc8b6e3902f3,2014-07-23T07:35:15Z,100.6745,3.1497
015581f6-5fb4-480b-a1a3-6a7e882d987e,bc255145-63e8-4b72-941c-bb72ad9e2e28,2014-07-23T07:36:03Z,100.6726,3.1516
015581f6-5fb4-480b-a1a3-6a7e882d987e,2f960012-ff84-4937-9d73-b81eae885eed,2014-07-23T07:36:54Z,100.6706,3.1536
015581f6-5fb4-480b-a1a3-6a7e882d987e,304f64a2-84a2-4b32-8fde-cd5462e64bb0,2014-07-23T07:37:14Z,100.6698,3.1544
015581f6-5fb4-480b-a1a3-6a7e882d987e,902afe6a-58ed-433d-8b87-bbf91a996518,2014-07-23T07:37:54Z,100.6683,3.156
015581f6-5fb4-480b-a1a3-6a7e882d987e,2f28eb58-4c19-4a34-9248-3a2df695a577,2014-07-23T07:40:24Z,100.6624,3.162
015581f6-5fb4-480b-a1a3-6a7e882d987e,75ce3c36-cf47-4d7a-97b0-a267e2c39ac7,2014-07-23T07:41:35Z,100.6597,3.1648
